,,root
CIC,cnv_amp,0.0010800542
RPAP1,mut_important,0.00011947772
RPAP1,cnv_del,-0.00018036555
RPAP1,cnv_amp,0.000117423864
EPHB4,mut_important,1.0715979e-05
EPHB4,cnv_del,3.8117294e-05
EPHB4,cnv_amp,-8.178813e-05
GOLGA3,mut_important,4.7942167e-12
GOLGA3,cnv_del,-1.4422562e-23
GOLGA3,cnv_amp,1.9227839e-32
HSPBP1,mut_important,2.394856e-12
HSPBP1,cnv_del,9.837544e-25
HSPBP1,cnv_amp,2.3014234e-24
CCDC138,mut_important,-1.1693395e-12
CCDC138,cnv_del,6.260011e-11
CCDC138,cnv_amp,2.4687356e-11
BSPRY,mut_important,-6.2371444e-33
BSPRY,cnv_del,9.87885e-05
BSPRY,cnv_amp,4.1689276e-05
SCRN1,mut_important,3.7233672e-08
SCRN1,cnv_del,3.4423742e-33
SCRN1,cnv_amp,1.03671034e-32
MRRF,mut_important,-0.011276256
MRRF,cnv_del,-0.044981927
MRRF,cnv_amp,0.094055414
TSEN15,mut_important,2.4430496e-13
TSEN15,cnv_del,-1.923035e-33
TSEN15,cnv_amp,-2.5275538e-32
NME9,mut_important,2.9293777e-15
NME9,cnv_del,1.1151306e-15
NME9,cnv_amp,-4.9906245e-15
UPF2,mut_important,-0.0003883698
UPF2,cnv_del,-6.919581e-05
UPF2,cnv_amp,-0.0026012075
IFNA14,mut_important,6.568372e-05
IFNA14,cnv_del,-4.4684173e-05
IFNA14,cnv_amp,-7.736448e-06
ZBTB45,mut_important,-9.627446e-13
ZBTB45,cnv_del,2.4446192e-13
ZBTB45,cnv_amp,-1.1587834e-12
NICN1,mut_important,0.1134057
NICN1,cnv_del,0.100124516
NICN1,cnv_amp,0.020541944
LYG2,mut_important,1.0967542e-05
LYG2,cnv_del,9.695019e-32
LYG2,cnv_amp,-1.1906294e-32
ZNF649,mut_important,-0.35696405
ZNF649,cnv_del,3.321286e-33
ZNF649,cnv_amp,-6.0819475e-33
FOXJ3,mut_important,-4.0506748e-05
FOXJ3,cnv_del,0.0018882517
FOXJ3,cnv_amp,0.0011009122
MRPS27,mut_important,0.00042889762
MRPS27,cnv_del,-6.190154e-06
MRPS27,cnv_amp,-0.0001223235
C1D,mut_important,-3.629048e-33
C1D,cnv_del,4.910079e-11
C1D,cnv_amp,-7.472852e-12
VAPB,mut_important,1.8324117e-32
VAPB,cnv_del,-1.2024481e-28
VAPB,cnv_amp,6.037026e-30
LRRCC1,mut_important,1.3016133e-06
