,,coef
TSPAN8,cnv_del,0.0
TSPAN8,cnv_amp,0.0
SPP2,mut_important,1.5409055e-13
SPP2,cnv_del,0.0
SPP2,cnv_amp,0.0
SEZ6L2,mut_important,0.0
SEZ6L2,cnv_del,0.0
SEZ6L2,cnv_amp,0.0
MCCC1,mut_important,0.0
MCCC1,cnv_del,0.0
MCCC1,cnv_amp,1.4001938e-36
WFIKKN2,mut_important,0.0
WFIKKN2,cnv_del,0.0
WFIKKN2,cnv_amp,0.0
TMEM120A,mut_important,0.0
TMEM120A,cnv_del,0.0
TMEM120A,cnv_amp,0.0
RHOT1,mut_important,2.263426e-09
RHOT1,cnv_del,0.0
RHOT1,cnv_amp,0.0
DTNA,mut_important,0.0
DTNA,cnv_del,0.0
DTNA,cnv_amp,0.0
SEMA7A,mut_important,1.0599136e-08
SEMA7A,cnv_del,0.0
SEMA7A,cnv_amp,0.0
FAM83G,mut_important,0.0
FAM83G,cnv_del,0.0
FAM83G,cnv_amp,0.0
CRIM1,mut_important,0.0
CRIM1,cnv_del,0.0
CRIM1,cnv_amp,0.0
STON2,mut_important,1.3380382e-37
STON2,cnv_del,0.0
STON2,cnv_amp,0.0
ZIM3,mut_important,0.0
ZIM3,cnv_del,0.0
ZIM3,cnv_amp,0.0
COX18,mut_important,0.0
COX18,cnv_del,0.0
COX18,cnv_amp,0.0
ATAT1,mut_important,0.0
ATAT1,cnv_del,0.0
ATAT1,cnv_amp,0.0
CARD6,mut_important,0.0
CARD6,cnv_del,0.0
CARD6,cnv_amp,0.0
APOBEC2,mut_important,0.0
APOBEC2,cnv_del,3.9633114e-12
APOBEC2,cnv_amp,1.2966172e-11
EMP2,mut_important,0.0
EMP2,cnv_del,0.0
EMP2,cnv_amp,0.0
RTBDN,mut_important,0.0
RTBDN,cnv_del,0.0
RTBDN,cnv_amp,0.0
SNUPN,mut_important,0.0
SNUPN,cnv_del,0.0
SNUPN,cnv_amp,0.0
CHRNA6,mut_important,0.0
CHRNA6,cnv_del,6.537925e-19
