,R-HSA-8953897,R-HSA-162582,R-HSA-1640170,R-HSA-8953854,R-HSA-392499,R-HSA-382551,R-HSA-1643685,R-HSA-73894,R-HSA-5357801,R-HSA-5205647,R-HSA-8963743,R-HSA-5653656,R-HSA-112316,R-HSA-1430728,R-HSA-1266738,R-HSA-1474165,R-HSA-397014,R-HSA-1852241,R-HSA-168256,R-HSA-1474244,R-HSA-109582,R-HSA-4839726,R-HSA-400253,R-HSA-69306,R-HSA-74160,R-HSA-1500931
SC_9088,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.061,0.001
SC_9127,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
SC_9141,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.021,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
SC_9150,-0.024,-0.026,-0.004,0.005,0.036,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.015,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
SC_9151,-0.024,-0.028,-0.002,0.005,0.036,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.018,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-2A-A8VT,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-2A-A8VX,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.019,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-EJ-5508,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.032,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-EJ-5511,-0.024,-0.028,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-EJ-5519,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.016,-0.019,-0.012,-0.008,0.013,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-EJ-5521,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.06,0.001
TCGA-EJ-7781,-0.024,-0.028,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-EJ-7784,-0.024,-0.027,-0.003,0.005,0.013,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.018,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-EJ-A65B,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
TCGA-EJ-A7NM,-0.024,-0.027,-0.002,0.005,0.037,0.021,0.036,0.031,-0.015,0.005,0.007,0.012,0.016,0.017,-0.018,-0.012,-0.008,0.011,-0.025,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
TCGA-G9-6356,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-G9-6361,-0.024,-0.029,-0.003,0.005,0.014,0.021,0.038,0.031,-0.015,0.004,0.007,0.012,0.016,0.016,-0.018,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.062,0.001
TCGA-G9-6370,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-G9-6496,-0.025,-0.028,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.013,0.016,0.018,-0.019,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.062,0.001
TCGA-G9-A9S7,-0.024,-0.029,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.058,0.001
TCGA-HC-7075,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.018,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-HC-7748,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-HC-A4ZV,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.011,0.016,0.016,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
TCGA-HC-A6AN,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-HC-A8D0,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-HC-A8D1,-0.024,-0.027,-0.003,0.005,0.012,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.065,0.001
TCGA-J4-A67K,-0.025,-0.028,-0.0,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.065,0.001
TCGA-J4-A67O,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-J4-A67Q,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-J4-A6G1,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-J9-A8CL,-0.024,-0.028,-0.003,0.005,0.014,0.022,0.036,0.014,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.059,0.001
TCGA-KC-A7F3,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-KK-A6E7,-0.024,-0.028,-0.003,0.005,0.017,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.064,0.001
TCGA-KK-A6E8,-0.024,-0.028,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.016,-0.019,-0.012,-0.008,0.012,-0.026,0.02,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-KK-A7AZ,-0.024,-0.028,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.014,0.016,0.016,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-KK-A8I9,-0.024,-0.027,0.001,0.005,0.014,0.022,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.016,-0.019,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.063,0.001
TCGA-KK-A8IB,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
TCGA-KK-A8IK,-0.024,-0.028,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
TCGA-V1-A9OA,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
