,fanin,fanout,degree
R-HSA-5654726,23.0,1.0,24.0
R-HSA-5654727,23.0,1.0,24.0
R-HSA-5654732,21.0,1.0,22.0
R-HSA-5654733,24.0,1.0,25.0
R-HSA-5658623,7.0,1.0,8.0
R-HSA-6803529,17.0,1.0,18.0
R-HSA-1839128,1.0,1.0,2.0
R-HSA-8853334,8.0,1.0,9.0
R-HSA-8853338,15.0,1.0,16.0
R-HSA-5658442,43.0,1.0,44.0
R-HSA-5673000,18.0,1.0,19.0
R-HSA-5674135,27.0,1.0,28.0
R-HSA-5675221,26.0,1.0,27.0
R-HSA-5218900,8.0,1.0,9.0
R-HSA-5685942,43.0,1.0,44.0
R-HSA-5685938,27.0,1.0,28.0
R-HSA-5693607,47.0,1.0,48.0
R-HSA-6799198,21.0,1.0,22.0
R-HSA-844455,1.0,1.0,2.0
R-HSA-844456,8.0,1.0,9.0
R-HSA-844615,1.0,1.0,2.0
R-HSA-844623,2.0,1.0,3.0
R-HSA-1059683,7.0,1.0,8.0
R-HSA-6788467,9.0,1.0,10.0
R-HSA-5659996,0.0,1.0,1.0
R-HSA-6791055,0.0,1.0,1.0
R-HSA-6791461,0.0,1.0,1.0
R-HSA-6791462,0.0,1.0,1.0
R-HSA-8943723,6.0,1.0,7.0
R-HSA-8943724,38.0,1.0,39.0
R-HSA-8948747,7.0,1.0,8.0
R-HSA-8948751,45.0,1.0,46.0
R-HSA-68616,5.0,1.0,6.0
R-HSA-68689,6.0,1.0,7.0
R-HSA-68827,35.0,1.0,36.0
R-HSA-162658,8.0,1.0,9.0
R-HSA-2299718,15.0,1.0,16.0
R-HSA-2465910,6.0,1.0,7.0
R-HSA-2500257,53.0,1.0,54.0
R-HSA-2514853,4.0,1.0,5.0
R-HSA-380320,53.0,1.0,54.0
R-HSA-2470946,7.0,1.0,8.0
R-HSA-69091,8.0,2.0,10.0
R-HSA-69183,9.0,1.0,10.0
R-HSA-187577,38.0,1.0,39.0
R-HSA-69205,9.0,1.0,10.0
R-HSA-69231,31.0,1.0,32.0
R-HSA-69273,11.0,1.0,12.0
R-HSA-156711,6.0,1.0,7.0
R-HSA-2565942,56.0,1.0,57.0
R-HSA-8852276,34.0,1.0,35.0
R-HSA-8854050,33.0,1.0,34.0
R-HSA-8854518,46.0,1.0,47.0
R-HSA-8854521,0.0,1.0,1.0
R-HSA-75035,6.0,1.0,7.0
R-HSA-69563,39.0,1.0,40.0
R-HSA-69610,32.0,1.0,33.0
R-HSA-170822,24.0,1.0,25.0
R-HSA-204174,8.0,1.0,9.0
R-HSA-72662,26.0,1.0,27.0
R-HSA-72689,35.0,1.0,36.0
R-HSA-72695,21.0,1.0,22.0
R-HSA-72702,26.0,1.0,27.0
R-HSA-72706,42.0,1.0,43.0
R-HSA-72731,6.0,1.0,7.0
R-HSA-110330,2.0,1.0,3.0
R-HSA-110331,2.0,1.0,3.0
R-HSA-110328,6.0,1.0,7.0
R-HSA-110329,6.0,1.0,7.0
R-HSA-2393930,3.0,1.0,4.0
R-HSA-74713,3.0,1.0,4.0
R-HSA-74749,5.0,1.0,6.0
R-HSA-75876,9.0,1.0,10.0
R-HSA-69229,32.0,1.0,33.0
R-HSA-77286,6.0,1.0,7.0
R-HSA-71032,5.0,1.0,6.0
R-HSA-77288,1.0,1.0,2.0
R-HSA-877312,9.0,1.0,10.0
R-HSA-6811434,44.0,1.0,45.0
R-HSA-6811436,24.0,1.0,25.0
R-HSA-1358803,11.0,1.0,12.0
R-HSA-8866904,8.0,1.0,9.0
R-HSA-8866906,1.0,1.0,2.0
R-HSA-8866907,5.0,1.0,6.0
R-HSA-8866910,8.0,1.0,9.0
R-HSA-8866911,4.0,1.0,5.0
R-HSA-8869496,3.0,1.0,4.0
R-HSA-8874081,3.0,1.0,4.0
R-HSA-8875513,1.0,1.0,2.0
R-HSA-8875555,9.0,1.0,10.0
R-HSA-8941855,5.0,1.0,6.0
R-HSA-8941856,10.0,1.0,11.0
R-HSA-8941858,32.0,1.0,33.0
R-HSA-8949275,2.0,1.0,3.0
R-HSA-8951430,7.0,1.0,8.0
R-HSA-8951671,2.0,1.0,3.0
R-HSA-8951911,2.0,1.0,3.0
R-HSA-8951936,5.0,1.0,6.0
R-HSA-8952158,3.0,1.0,4.0
R-HSA-8939902,42.0,1.0,43.0
R-HSA-8941326,18.0,1.0,19.0
R-HSA-8941332,6.0,1.0,7.0
R-HSA-8941333,2.0,1.0,3.0
R-HSA-8877330,4.0,1.0,5.0
R-HSA-8931987,6.0,1.0,7.0
R-HSA-8934593,13.0,1.0,14.0
R-HSA-8935964,3.0,1.0,4.0
R-HSA-8936459,32.0,1.0,33.0
R-HSA-8939236,53.0,1.0,54.0
R-HSA-8939242,4.0,1.0,5.0
R-HSA-8939243,26.0,1.0,27.0
R-HSA-8939245,5.0,1.0,6.0
R-HSA-8939246,4.0,1.0,5.0
R-HSA-8939247,5.0,1.0,6.0
R-HSA-8939256,5.0,1.0,6.0
R-HSA-888568,1.0,1.0,2.0
R-HSA-888593,0.0,1.0,1.0
R-HSA-916853,1.0,1.0,2.0
R-HSA-9024909,1.0,1.0,2.0
R-HSA-9025046,2.0,1.0,3.0
R-HSA-9026357,1.0,1.0,2.0
R-HSA-9026519,5.0,1.0,6.0
R-HSA-9026527,2.0,1.0,3.0
R-HSA-9028335,4.0,1.0,5.0
R-HSA-9028731,7.0,1.0,8.0
R-HSA-9032500,5.0,1.0,6.0
R-HSA-9032845,5.0,1.0,6.0
R-HSA-9017802,5.0,1.0,6.0
