,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
MOV10,6.96962e-12,10.0,6.96962e-12,-0.056590356,-1.3719654
TARS2,9.425209e-08,1.0,9.425209e-08,-0.056135565,0.068378724
KANSL3,0.0,1.0,0.0,-0.056590393,0.06805289
HEXB,5.3774856e-13,5.0,5.3774856e-13,-0.056590386,-0.57195526
RP1,0.0,0.0,0.0,-0.056590393,0.22805494
IDH3G,0.0,2.0,0.0,-0.056590393,-0.09194915
DRGX,0.0,0.0,0.0,-0.056590393,0.22805494
MASP2,1.4422831e-09,1.0,1.4422831e-09,-0.05658343,0.06805788
XRCC5,3.9611805e-06,3.0,3.9611805e-06,-0.037475068,-0.23825717
FABP9,2.1974083e-08,1.0,2.1974083e-08,-0.056484353,0.068128854
UGT2A1,0.0,0.0,0.0,-0.056590393,0.22805494
TMEM181,0.0,0.0,0.0,-0.056590393,0.22805494
CAMK2N2,0.0,0.0,0.0,-0.056590393,0.22805494
FCHSD1,0.0,0.0,0.0,-0.056590393,0.22805494
LETMD1,0.0,0.0,0.0,-0.056590393,0.22805494
PTH,0.0,0.0,0.0,-0.056590393,0.22805494
SMARCE1,0.0,2.0,0.0,-0.056590393,-0.09194915
CHAT,1.2456852e-08,2.0,1.2456852e-08,-0.056530282,-0.091906086
MIP,0.0,1.0,0.0,-0.056590393,0.06805289
EXOC6B,0.0,0.0,0.0,-0.056590393,0.22805494
METTL7A,0.0,1.0,0.0,-0.056590393,0.06805289
HLF,0.0,0.0,0.0,-0.056590393,0.22805494
GNA11,2.409374e-20,5.0,2.409374e-20,-0.056590393,-0.57195526
FAM50B,0.0,0.0,0.0,-0.056590393,0.22805494
GLUD2,0.0,1.0,0.0,-0.056590393,0.06805289
GARS,1.6399973e-06,2.0,1.6399973e-06,-0.048676316,-0.086279586
ZNF697,0.0,0.0,0.0,-0.056590393,0.22805494
VARS,2.0701547e-10,1.0,2.0701547e-10,-0.05658939,0.0680536
TUT1,0.0,0.0,0.0,-0.056590393,0.22805494
JMJD8,0.0,0.0,0.0,-0.056590393,0.22805494
SPHAR,0.0,0.0,0.0,-0.056590393,0.22805494
TTC21B,3.8268452e-17,1.0,3.8268452e-17,-0.056590393,0.06805289
ZNF471,0.0,0.0,0.0,-0.056590393,0.22805494
KLHL26,0.0,0.0,0.0,-0.056590393,0.22805494
OR6Q1,0.0,1.0,0.0,-0.056590393,0.06805289
ACTR5,0.0,1.0,0.0,-0.056590393,0.06805289
DOPEY1,0.0,0.0,0.0,-0.056590393,0.22805494
ACAD10,0.0,0.0,0.0,-0.056590393,0.22805494
EIF3E,6.8477823e-07,6.0,6.8477823e-07,-0.053285882,-0.72959
CDK9,1.9440698e-09,8.0,1.9440698e-09,-0.05658101,-1.0519547
RAB10,0.0,4.0,0.0,-0.056590393,-0.41195324
NONO,0.0,0.0,0.0,-0.056590393,0.22805494
ITCH,0.0,7.0,0.0,-0.056590393,-0.89195937
FBXO10,1.1747838e-17,2.0,1.1747838e-17,-0.056590393,-0.09194915
PHC1,4.336468e-16,9.0,4.336468e-16,-0.056590393,-1.2119634
HHAT,0.0,0.0,0.0,-0.056590393,0.22805494
FAM49B,1.719588e-06,1.0,1.719588e-06,-0.04829224,0.0739976
ROBO2,7.6353683e-07,4.0,7.6353683e-07,-0.052905817,-0.40931362
CRX,0.0,0.0,0.0,-0.056590393,0.22805494
TRIM38,0.0,0.0,0.0,-0.056590393,0.22805494
DPAGT1,0.0,0.0,0.0,-0.056590393,0.22805494
USP16,2.67621e-12,1.0,2.67621e-12,-0.05659038,0.068052895
CSNK1E,0.0,7.0,0.0,-0.056590393,-0.89195937
NOTUM,1.6888864e-05,3.0,1.6888864e-05,0.024909578,-0.19356541
