ind,Cellular responses to external stimuli,Signal Transduction,Cell Cycle,Metabolism of RNA,Metabolism of proteins,Transport of small molecules,Disease,DNA Repair,Programmed Cell Death,Mitophagy,Digestion and absorption,Vesicle-mediated transport,Neuronal System,Metabolism,Developmental Biology,Reproduction,Muscle contraction,Organelle biogenesis and maintenance,Immune System,Extracellular matrix organization,Hemostasis,Chromatin organization,Circadian Clock,DNA Replication,Gene expression (Transcription),Cell-Cell communication
SC_9088,1.010175e-06,-2.019123e-06,-2.0924579e-06,-6.1227384e-11,-1.4989206e-08,-0.0,-5.047607e-10,1.0465941e-09,1.1246236e-09,0.0,-0.0,-1.3946942e-08,-0.0,-0.0,-2.6759306e-09,0.0,-0.0,-0.0,7.686339e-07,-1.3916961e-05,1.1820957e-10,0.0,0.0,0.0,2.5779623e-06,-0.0
SC_9127,-0.0,2.7028153e-05,1.4761297e-05,-6.119479e-11,-7.905807e-08,-0.0,-5.0449195e-10,1.046037e-09,5.764231e-11,0.0,-0.0,6.833849e-07,-0.0,-1.143016e-07,3.6973138e-06,0.0,-4.5011934e-06,-1.642025e-07,-1.2346234e-07,-2.2235254e-07,-6.0526526e-07,0.0,0.0,0.0,-1.2231002e-06,-0.0
SC_9141,1.0468773e-06,3.7697686e-07,-1.5007167e-06,7.289695e-09,9.401338e-06,-1.3896948e-07,6.489412e-07,-4.9214474e-08,1.5042281e-06,0.0,-0.0,-1.2508803e-05,-0.0,-3.5188018e-06,0.0004929119,0.0,-1.1683128e-08,-0.0,1.4353504e-06,-1.3547292e-10,1.6510293e-07,-7.867176e-06,0.0,0.0,8.920163e-05,-0.0
SC_9150,-0.0,0.0003080562,8.365554e-05,-1.2681982e-08,0.0010403107,2.390604e-07,1.8197882e-06,5.236238e-09,-4.567669e-08,0.0,-1.0810821e-06,-1.5363427e-06,-5.175265e-07,3.6006986e-05,-5.3169515e-08,0.0,-3.55349e-07,1.7925465e-06,5.1901047e-06,-2.0324835e-06,-4.3114292e-07,1.9500916e-05,0.0,0.0,-0.00010758946,-0.0
SC_9151,1.0093061e-06,-7.402207e-05,-2.6058487e-05,-1.0261974e-08,0.0010284312,1.9300394e-06,1.3318829e-06,1.047246e-09,1.1253241e-09,0.0,-0.0,0.000116602765,2.721914e-07,-3.3380384e-05,1.1812794e-05,0.0,-3.6758289e-07,-2.3817972e-08,-1.7169265e-06,2.5637895e-05,5.830178e-07,1.2231629e-09,0.0,0.0,-1.893115e-05,-4.9211496e-10
TCGA-2A-A8VT,-2.5247664e-06,-2.0671418e-06,-2.1409235e-06,-6.2645535e-11,-1.5336385e-08,-0.0,-5.1645194e-10,1.0708354e-09,1.1506722e-09,0.0,-0.0,-0.0,-0.0,-1.3648291e-09,1.5645204e-09,0.0,-0.0,-0.0,7.3251994e-07,-1.385416e-10,1.2094754e-10,0.0,0.0,0.0,2.6821667e-06,-0.0
TCGA-2A-A8VX,-0.0,-3.6475e-07,-0.0,-6.115746e-11,0.0,-0.0,-5.041842e-10,1.0453989e-09,5.7607145e-11,0.0,-0.0,-3.5625085e-06,-0.0,-4.5999957e-05,3.8183923e-10,0.0,-0.0,-0.0,-0.0,-1.352507e-10,1.1807458e-10,-1.6414435e-05,0.0,0.0,8.855022e-05,-0.0
TCGA-EJ-5508,-0.0,0.0,5.2194235e-08,-6.107309e-11,3.9984397e-07,-0.0,-5.0348864e-10,-0.00011129779,5.752767e-11,0.0,-0.0,0.00011636869,-0.0,-2.6997282e-07,1.9828247e-08,0.0,-0.0,-0.0,-1.3108171e-10,-1.350641e-10,1.1791168e-10,6.0783157e-07,0.0,8.8959905e-06,-6.250152e-06,-0.0
TCGA-EJ-5511,-0.0,-6.3138934e-05,1.4605043e-05,-6.132174e-11,4.3750145e-08,-5.9577815e-10,3.5792127e-07,1.048207e-09,5.7761886e-11,0.0,-0.0,6.439449e-07,-0.0,-4.9787822e-08,-2.46565e-07,0.0,-4.510531e-06,-1.6454314e-07,-2.2812894e-06,-1.3561399e-10,1.1839174e-10,0.0,0.0,0.0,1.7868062e-07,-4.9256654e-10
TCGA-EJ-5519,-1.938249e-05,-5.322018e-07,5.7507725e-07,-1.8369901e-10,-2.055851e-09,8.673802e-06,5.04807e-10,1.0466902e-09,5.7678303e-11,0.0,-0.0,-2.0805517e-06,3.65458e-11,9.994116e-06,8.467421e-06,0.0,-0.0,-3.120195e-05,6.3083974e-09,3.9317463e-05,-9.457634e-10,5.293026e-05,0.0,0.0,-1.672707e-09,-0.0
