,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
TMEM38A,0.0,0.0,0.0,-0.10343876,0.23665415
KEL,5.5587183e-08,1.0,5.5587183e-08,-0.1034042,0.059483677
CTNNBL1,4.2037187e-05,1.0,4.2037187e-05,-0.07730772,0.07947319
SERPINA5,2.0440707e-07,1.0,2.0440707e-07,-0.10331169,0.059554536
GBGT1,0.0,0.0,0.0,-0.10343876,0.23665415
FIZ1,0.0,0.0,0.0,-0.10343876,0.23665415
FLI1,0.0,0.0,0.0,-0.10343876,0.23665415
RXRB,3.6014314e-06,1.0,3.6014314e-06,-0.10120005,0.061172023
MIB2,0.00011000938,6.0,0.00011000938,-0.03505506,-0.7741467
OPA3,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF420,2.298048e-08,1.0,2.298048e-08,-0.103424475,0.059468146
ABCE1,0.0,0.0,0.0,-0.10343876,0.23665415
TEX2,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF362,0.0,0.0,0.0,-0.10343876,0.23665415
EAF1,3.816814e-06,2.0,3.816814e-06,-0.101066165,-0.1159224
CEP41,0.0001009202,5.0,0.0001009202,-0.040705044,-0.60127753
SRSF3,3.7356887e-05,4.0,3.7356887e-05,-0.08021708,-0.45434624
CAV1,6.4380265e-06,5.0,6.4380265e-06,-0.09943677,-0.6462652
ALDH16A1,0.0,0.0,0.0,-0.10343876,0.23665415
COMMD9,0.0006705734,2.0,0.0006705734,0.31340104,0.20155337
UBC,0.006920832,118.0,5.865112e-05,-0.06698023,-17.377235
PMVK,2.7392063e-05,1.0,2.7392063e-05,-0.08641139,0.07249992
RABEP1,1.2597878e-06,1.0,1.2597878e-06,-0.10265565,0.06005705
UTRN,0.0,0.0,0.0,-0.10343876,0.23665415
DUSP3,0.0001018788,4.0,0.0001018788,-0.04010916,-0.42362416
PI4K2B,2.0233285e-06,4.0,2.0233285e-06,-0.10218102,-0.47117028
HSFX1,0.0,0.0,0.0,-0.10343876,0.23665415
OTUD7B,0.0014996874,2.0,0.0014996874,0.82879233,0.59633565
ZNF329,0.0,0.0,0.0,-0.10343876,0.23665415
POLR3E,2.6975742e-06,6.0,2.6975742e-06,-0.10176189,-0.82524306
TMPRSS15,0.0,0.0,0.0,-0.10343876,0.23665415
CTH,6.183303e-07,2.0,6.183303e-07,-0.1030544,-0.11744536
SH3RF3,0.0,0.0,0.0,-0.10343876,0.23665415
RWDD4,0.0,0.0,0.0,-0.10343876,0.23665415
ENDOD1,1.2432514e-07,1.0,1.2432514e-07,-0.103361465,0.059516404
PTPRR,0.0,0.0,0.0,-0.10343876,0.23665415
PDLIM7,2.7553351e-05,1.0,2.7553351e-05,-0.086311124,0.07257672
COMT,4.5143634e-06,3.0,4.5143634e-06,-0.10063255,-0.29278722
PHACTR2,3.50234e-08,1.0,3.50234e-08,-0.10341698,0.059473883
PRPF4,2.4459864e-06,1.0,2.4459864e-06,-0.10191829,0.06062186
PHLDB1,0.0,0.0,0.0,-0.10343876,0.23665415
HOXA1,1.4913585e-05,1.0,1.4913585e-05,-0.094168216,0.0665583
BUB1B,0.0010914911,6.0,0.0010914911,0.5750506,-0.30681464
LGMN,3.3664594e-05,3.0,3.3664594e-05,-0.082512274,-0.27890733
