,coef
R-HSA-72689,0.111410975
R-HSA-72695,0.04944951
R-HSA-72702,0.14331284
R-HSA-72706,0.036929395
R-HSA-72731,0.007310923
R-HSA-110330,3.1775646e-05
R-HSA-110331,0.00059087534
R-HSA-110328,0.007445797
R-HSA-110329,0.008011182
R-HSA-2393930,0.0029068736
R-HSA-74713,0.03490846
R-HSA-74749,0.07812309
R-HSA-75876,0.0061862217
R-HSA-69229,0.0131984865
R-HSA-77286,0.45243073
R-HSA-71032,0.10905705
R-HSA-77288,0.15745106
R-HSA-877312,0.00012965176
R-HSA-6811434,0.00017188028
R-HSA-6811436,3.2784048e-06
R-HSA-1358803,8.428384e-05
R-HSA-8866904,7.2359515e-05
R-HSA-8866906,7.33216e-05
R-HSA-8866907,0.00033805042
R-HSA-8866910,0.005074828
R-HSA-8866911,0.0006520709
R-HSA-8869496,5.9185095e-05
R-HSA-8874081,0.0073194457
R-HSA-8875513,0.013981006
R-HSA-8875555,0.005565812
R-HSA-8941855,0.00024170328
R-HSA-8941856,0.001131121
R-HSA-8941858,0.0007261924
R-HSA-8949275,0.0004094521
R-HSA-8951430,0.0028157532
R-HSA-8951671,0.00050034944
R-HSA-8951911,1.0197616e-05
R-HSA-8951936,0.003871648
R-HSA-8952158,5.513529e-05
R-HSA-8939902,0.011175112
R-HSA-8941326,0.028048957
R-HSA-8941332,0.02799957
R-HSA-8941333,0.002508473
R-HSA-8877330,0.00031168718
R-HSA-8931987,0.0010602082
R-HSA-8934593,0.022163516
R-HSA-8935964,0.0047001806
R-HSA-8936459,0.013662144
R-HSA-8939236,0.016155822
R-HSA-8939242,0.0009027013
R-HSA-8939243,0.029734636
R-HSA-8939245,0.020128813
R-HSA-8939246,0.012122135
R-HSA-8939247,0.012139756
R-HSA-8939256,0.0031134842
R-HSA-888568,0.0004945396
R-HSA-888593,0.0
R-HSA-916853,0.0070516127
R-HSA-9024909,9.499986e-05
R-HSA-9025046,7.5384196e-05
R-HSA-9026357,0.000120517616
R-HSA-9026519,0.019555738
R-HSA-9026527,0.004815303
R-HSA-9028335,0.018620323
R-HSA-9028731,0.0017845728
R-HSA-9032500,0.00023738173
R-HSA-9032845,0.0164105
