ind,Circadian Clock,Metabolism of proteins,Hemostasis,DNA Repair,Signal Transduction,Metabolism,Extracellular matrix organization,Cellular responses to external stimuli,Immune System,Transport of small molecules,Gene expression (Transcription),Vesicle-mediated transport,Neuronal System,Chromatin organization,Reproduction,Developmental Biology,Organelle biogenesis and maintenance,Programmed Cell Death,Metabolism of RNA,Cell Cycle,Mitophagy,Cell-Cell communication,DNA Replication,Muscle contraction,Digestion and absorption,Disease
GSM1594597,-4.8592995e-07,-0.0004153415,0.00023411681,0.0006022146,-0.00037982143,9.72668e-05,-5.5860597e-05,0.00012377805,-3.7995957e-05,-0.00038638862,1.4539845e-06,-0.0002330109,4.6433923e-09,-1.9584733e-05,2.257884e-06,-1.1237224e-05,5.5480905e-05,-6.230643e-05,3.0697087e-05,-0.00019827786,-1.4751857e-05,-9.952088e-06,-7.2234e-05,0.00032012805,-0.000112980946,0.00010700226
GSM1594599,-5.4352836e-07,-0.00041728743,0.00022078818,0.0005876392,-0.00037208392,8.957524e-05,-5.7132063e-05,0.00011647258,-3.9596278e-05,-0.00039186227,1.5742381e-06,-0.00020965883,6.5300256e-08,-1.815704e-05,1.955333e-06,-1.1955158e-05,5.58196e-05,-5.966058e-05,2.840451e-05,-0.00019753136,-1.5069568e-05,-9.890861e-06,-7.567278e-05,0.0003324027,-0.00012121139,0.00010282614
GSM1594606,-5.004763e-07,-0.0004329802,0.00021766934,0.0006349126,-0.00034197216,0.00010312727,-5.6534387e-05,0.00012202056,-3.773338e-05,-0.0003796125,1.4100866e-06,-0.0001834185,1.7157952e-07,-2.1493937e-05,1.9254896e-06,-1.1619167e-05,6.0214996e-05,-6.0102575e-05,2.9761353e-05,-0.00018590853,-1.3556036e-05,-1.0103187e-05,-9.110466e-05,0.0003355807,-0.0001010234,0.00010626971
GSM1594659,-4.0396523e-07,-0.00041655058,0.00016270396,0.0006053891,-0.00030969502,9.6992284e-05,-5.7796467e-05,0.00011771477,-3.5698387e-05,-0.00041092595,1.3284335e-06,-0.00017872838,2.6479663e-07,-2.2787945e-05,1.7953982e-06,-1.0934475e-05,5.970939e-05,-6.281834e-05,3.035485e-05,-0.00019065099,-1.2062563e-05,-1.011651e-05,-8.839813e-05,0.00034456266,-9.908659e-05,8.4872816e-05
GSM1594943,-4.456211e-07,-0.0004286026,0.00019563107,0.0005263904,-0.00032556962,0.000103959035,-5.715005e-05,0.00012361197,-3.4763252e-05,-0.00044197284,1.1725617e-06,-0.00017606084,7.315936e-07,-2.591934e-05,2.4363264e-06,-1.1646389e-05,5.7319292e-05,-6.380549e-05,2.7564458e-05,-0.0002024934,-1.5788812e-05,-1.0547473e-05,-6.214222e-05,0.0003604207,-9.877657e-05,9.8326236e-05
GSM1595054,-4.8459094e-07,-0.00044121654,0.00019696027,0.000578898,-0.00036883648,0.000103103,-5.840552e-05,0.00012869546,-3.6367466e-05,-0.0004266497,1.382161e-06,-0.0001918053,9.3714e-08,-2.2105245e-05,2.7134613e-06,-9.341357e-06,6.0400373e-05,-6.748108e-05,3.0095389e-05,-0.0001857637,-9.822177e-06,-1.04255905e-05,-8.1206344e-05,0.00035208504,-0.0001036516,0.000108465865
GSM1595079,-4.6414723e-07,-0.00042026018,0.00019323896,0.00058932044,-0.00033145185,9.91405e-05,-5.4172382e-05,0.000119294156,-3.7594902e-05,-0.00037880568,1.3813489e-06,-0.00021517674,2.2329583e-07,-2.179227e-05,1.9076251e-06,-1.0641509e-05,6.252544e-05,-6.274197e-05,2.9154291e-05,-0.00020436222,-1.3386154e-05,-9.811115e-06,-7.78611e-05,0.00035062907,-0.000111547466,9.984849e-05
GSM1595153,-4.7866655e-07,-0.00042046746,0.00020264935,0.0006350586,-0.00034042867,8.558717e-05,-5.549726e-05,0.00012334566,-3.934629e-05,-0.00038534982,1.4973535e-06,-0.0002204358,-4.819026e-08,-1.7153561e-05,2.633924e-06,-1.2729636e-05,5.5482993e-05,-6.0792572e-05,2.6398671e-05,-0.0002133059,-1.4400477e-05,-1.0196296e-05,-7.299248e-05,0.00033894583,-0.00012462819,0.000105253355
GSM1595185,-5.3354796e-07,-0.0004259591,0.00019809401,0.0006117579,-0.0003836123,9.522083e-05,-5.365513e-05,0.00012097588,-4.1657127e-05,-0.00038176993,1.576081e-06,-0.00023195302,-1.2441284e-07,-1.8603134e-05,2.0819987e-06,-1.0910032e-05,6.039914e-05,-6.0248938e-05,2.9648936e-05,-0.00019659492,-1.5111462e-05,-9.8577675e-06,-7.989401e-05,0.0003294521,-0.00013503885,0.000103983366
GSM1595193,-4.377282e-07,-0.0004369566,0.00020852599,0.0005947423,-0.0003513543,0.00010068422,-5.439944e-05,0.00012735363,-3.7937152e-05,-0.00040310025,1.3397564e-06,-0.00021042515,-1.2991974e-07,-2.0827922e-05,2.3611874e-06,-1.0856637e-05,5.613607e-05,-6.261645e-05,3.0341107e-05,-0.0001875031,-1.3299714e-05,-1.0127377e-05,-7.8181096e-05,0.00032082028,-0.00011592753,0.00010783134
GSM1595198,-5.4151275e-07,-0.00041059725,0.00021214664,0.0006121771,-0.00038909234,9.019797e-05,-5.234959e-05,0.00011921705,-4.078377e-05,-0.00037774869,1.6290235e-06,-0.00022424979,-1.08676325e-07,-1.884607e-05,1.994223e-06,-1.1681636e-05,5.73489e-05,-6.0302664e-05,2.9997751e-05,-0.00020307479,-1.45074855e-05,-9.667377e-06,-8.230061e-05,0.00033079623,-0.00011050952,0.00010077876
