,coef
R-HSA-8877330,0.00012873934
R-HSA-8931987,6.6456266e-07
R-HSA-8934593,0.0004129765
R-HSA-8935964,3.942144e-05
R-HSA-8936459,7.624466e-05
R-HSA-8939236,0.002690186
R-HSA-8939242,2.5484578e-05
R-HSA-8939243,0.00017285171
R-HSA-8939245,3.0768362e-05
R-HSA-8939246,7.39748e-06
R-HSA-8939247,0.00013118084
R-HSA-8939256,9.699893e-05
R-HSA-888568,1.9015511e-11
R-HSA-888593,0.0
R-HSA-916853,4.827535e-11
R-HSA-9024909,3.3005726e-08
R-HSA-9025046,3.6316565e-09
R-HSA-9026357,2.5272269e-07
R-HSA-9026519,5.7559043e-07
R-HSA-9026527,1.0526082e-06
R-HSA-9028335,1.0580465e-07
R-HSA-9028731,4.620174e-07
R-HSA-9032500,3.1849046e-07
R-HSA-9032845,5.1028e-09
R-HSA-9017802,1.624792e-06
R-HSA-9018676,3.0542665e-06
R-HSA-9018681,2.4790072e-08
R-HSA-9018682,2.420869e-07
R-HSA-9020265,6.130876e-08
R-HSA-9026395,0.0
R-HSA-9018896,7.793859e-06
R-HSA-9023661,4.633332e-06
R-HSA-9025094,1.5334521e-07
R-HSA-9025106,7.386166e-11
R-HSA-9034013,1.1849952e-05
R-HSA-9034793,1.8693487e-07
R-HSA-9034864,4.2291544e-05
R-HSA-9603381,6.6852226e-05
R-HSA-9603505,2.1005971e-07
R-HSA-167060,1.2573713e-10
R-HSA-912694,1.6522631e-06
R-HSA-977068,4.1432627e-06
R-HSA-964739,3.1615195e-06
R-HSA-975576,9.807609e-05
R-HSA-977441,2.6243916e-07
R-HSA-977442,2.684269e-07
R-HSA-977444,0.00035564028
R-HSA-75205,4.550697e-07
R-HSA-75892,1.0488648e-05
R-HSA-111452,0.0
R-HSA-111453,2.4330557e-08
R-HSA-111457,7.4172574e-10
R-HSA-114294,2.935968e-06
R-HSA-75108,3.2025627e-09
R-HSA-110312,8.067922e-05
R-HSA-110320,7.4047406e-05
R-HSA-5655862,0.00036543448
R-HSA-5656121,5.733267e-05
R-HSA-5656169,0.0015120878
R-HSA-112303,1.1966767e-06
R-HSA-181429,2.6224227e-05
R-HSA-181430,0.0005360412
R-HSA-210500,0.00018657652
R-HSA-212676,3.5860564e-06
R-HSA-264642,3.550408e-05
R-HSA-210455,8.728814e-06
R-HSA-112308,4.0445367e-09
R-HSA-426048,2.6088003e-07
R-HSA-1433617,1.3455038e-05
R-HSA-1300642,4.135344e-06
R-HSA-1300644,1.0475079e-05
R-HSA-1300645,0.0
R-HSA-1300652,1.0240754e-05
R-HSA-2534343,0.0
R-HSA-1250196,9.138152e-06
R-HSA-1251932,1.7722843e-06
R-HSA-1306955,2.1956055e-08
R-HSA-1963640,2.9288103e-09
R-HSA-1963642,3.1970704e-09
R-HSA-6785631,1.4245116e-07
R-HSA-8847993,2.3584137e-06
R-HSA-1250342,1.4636198e-07
R-HSA-1250347,6.4078284e-07
R-HSA-1251985,8.932273e-06
R-HSA-1253288,3.09579e-05
R-HSA-198323,1.0419778e-08
R-HSA-198693,4.5663686e-09
R-HSA-381340,8.266083e-05
R-HSA-5682910,1.3219069e-08
R-HSA-1170546,2.007568e-06
R-HSA-982772,0.00034772308
R-HSA-198933,0.0004316847
R-HSA-2132295,0.0004819606
R-HSA-392517,4.6863403e-05
R-HSA-8851680,6.8436515e-05
R-HSA-1296025,0.0
R-HSA-1296053,9.19209e-07
R-HSA-1296067,0.0
R-HSA-1296052,2.8487045e-07
R-HSA-1296061,7.4364745e-09
