,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
GAA,0.0,2.0,0.0,-0.14887504,-0.22114211
BIN3,0.0,0.0,0.0,-0.14887504,0.21565834
LIPF,2.6985104e-16,1.0,2.6985104e-16,-0.14887504,-0.0027418935
RBM44,0.0,0.0,0.0,-0.14887504,0.21565834
TMEM199,0.0,0.0,0.0,-0.14887504,0.21565834
COX14,0.0,0.0,0.0,-0.14887504,0.21565834
MLYCD,2.8495956e-06,1.0,2.8495956e-06,-0.13376522,0.007945486
ZNF177,0.0,0.0,0.0,-0.14887504,0.21565834
ACVR1B,1.6239423e-05,1.0,1.6239423e-05,-0.06276649,0.05816395
ARL4C,0.0,0.0,0.0,-0.14887504,0.21565834
PRSS55,0.0,0.0,0.0,-0.14887504,0.21565834
ROR2,0.0,1.0,0.0,-0.14887504,-0.0027418935
MBD2,5.1626176e-10,1.0,5.1626176e-10,-0.1488723,-0.0027399652
FEM1C,8.014367e-07,1.0,8.014367e-07,-0.14462547,0.00026388193
NAA25,0.0,0.0,0.0,-0.14887504,0.21565834
BCL2L12,0.0,0.0,0.0,-0.14887504,0.21565834
ZMIZ2,0.0,0.0,0.0,-0.14887504,0.21565834
CHML,2.2544687e-10,2.0,2.2544687e-10,-0.14887384,-0.22114128
TAS2R16,8.6892104e-13,1.0,8.6892104e-13,-0.14887504,-0.0027418935
NDUFC2,0.0,2.0,0.0,-0.14887504,-0.22114211
OR52L1,1.6299207e-07,1.0,1.6299207e-07,-0.14801078,-0.0021305932
KRIT1,0.0,0.0,0.0,-0.14887504,0.21565834
LRRC8A,6.1177747e-09,1.0,6.1177747e-09,-0.1488426,-0.0027189553
GAGE12F,0.0,0.0,0.0,-0.14887504,0.21565834
VEZF1,0.0,0.0,0.0,-0.14887504,0.21565834
SOWAHC,0.0,0.0,0.0,-0.14887504,0.21565834
NUDT16L1,0.0,0.0,0.0,-0.14887504,0.21565834
PCK2,1.3294341e-07,1.0,1.3294341e-07,-0.14817011,-0.002243298
CST8,0.0,0.0,0.0,-0.14887504,0.21565834
SHISA3,0.0,0.0,0.0,-0.14887504,0.21565834
NRBP1,4.247418e-09,1.0,4.247418e-09,-0.14885251,-0.0027259635
CEP41,3.183724e-06,5.0,3.183724e-06,-0.13199353,-0.8644022
CHAMP1,0.0,0.0,0.0,-0.14887504,0.21565834
IDH3A,2.0431173e-06,1.0,2.0431173e-06,-0.13804153,0.004920801
FUS,0.0,1.0,0.0,-0.14887504,-0.0027418935
FAM155B,0.0,0.0,0.0,-0.14887504,0.21565834
SMYD5,0.0,0.0,0.0,-0.14887504,0.21565834
FAN1,1.5774809e-11,1.0,1.5774809e-11,-0.14887495,-0.0027418504
LEMD3,7.3189284e-07,2.0,7.3189284e-07,-0.14499423,-0.21839716
DTNBP1,2.2902886e-06,1.0,2.2902886e-06,-0.13673091,0.005847811
HOXB2,6.2735637e-07,1.0,6.2735637e-07,-0.14554852,-0.00038900634
SLC45A3,2.0248383e-09,1.0,2.0248383e-09,-0.1488643,-0.0027342956
WDR45B,0.0,1.0,0.0,-0.14887504,-0.0027418935
SPINK4,0.0,0.0,0.0,-0.14887504,0.21565834
IL27,4.9412665e-09,1.0,4.9412665e-09,-0.14884885,-0.0027233732
DNAJC11,0.0,1.0,0.0,-0.14887504,-0.0027418935
UTS2B,9.833413e-15,1.0,9.833413e-15,-0.14887504,-0.0027418935
TES,0.0,0.0,0.0,-0.14887504,0.21565834
BLOC1S5,0.0,0.0,0.0,-0.14887504,0.21565834
FGF13,0.0,0.0,0.0,-0.14887504,0.21565834
THEM4,2.6985352e-05,1.0,2.6985352e-05,-0.0057868552,0.09846648
CEP78,1.257551e-07,5.0,1.257551e-07,-0.14820823,-0.8758711
CRLS1,7.995752e-11,2.0,7.995752e-11,-0.14887461,-0.22114182
FZD1,1.2681561e-05,2.0,1.2681561e-05,-0.08163183,-0.17358
RABEPK,9.324864e-06,1.0,9.324864e-06,-0.09943052,0.032230936
VPS33A,0.0,0.0,0.0,-0.14887504,0.21565834
EHBP1L1,0.0,0.0,0.0,-0.14887504,0.21565834
GJA5,5.4130044e-07,1.0,5.4130044e-07,-0.14600483,-0.00071175216
ACADM,2.7653268e-12,3.0,2.7653268e-12,-0.14887501,-0.43954232
PPTC7,0.0,0.0,0.0,-0.14887504,0.21565834
PMM2,0.0,0.0,0.0,-0.14887504,0.21565834
BMP4,0.0,3.0,0.0,-0.14887504,-0.43954235
GLUD1,0.0,1.0,0.0,-0.14887504,-0.0027418935
SLC47A1,0.0,0.0,0.0,-0.14887504,0.21565834
AP5S1,0.0,0.0,0.0,-0.14887504,0.21565834
KLHL15,0.0,0.0,0.0,-0.14887504,0.21565834
FEM1A,3.5894576e-11,1.0,3.5894576e-11,-0.14887485,-0.002741764
INHBB,0.0,1.0,0.0,-0.14887504,-0.0027418935
TMEM185B,0.0,0.0,0.0,-0.14887504,0.21565834
PNLIPRP2,1.8360277e-11,1.0,1.8360277e-11,-0.14887494,-0.002741836
OR13H1,1.1013515e-09,1.0,1.1013515e-09,-0.1488692,-0.0027377636
XRCC1,4.259089e-05,4.0,4.259089e-05,0.07696056,-0.4982057
KLHL25,1.4880932e-06,2.0,1.4880932e-06,-0.1409845,-0.21556103
NINJ1,0.0,0.0,0.0,-0.14887504,0.21565834
SEMA6C,0.0,0.0,0.0,-0.14887504,0.21565834
CTRB2,1.6182098e-12,2.0,1.6182098e-12,-0.14887503,-0.22114211
DET1,1.6123881e-10,1.0,1.6123881e-10,-0.14887418,-0.0027413035
AGR2,0.0,0.0,0.0,-0.14887504,0.21565834
COX20,0.0,0.0,0.0,-0.14887504,0.21565834
CARD11,6.101415e-05,3.0,6.101415e-05,0.17464878,-0.2107092
ZBTB11,0.0,0.0,0.0,-0.14887504,0.21565834
GNG11,0.0008736206,17.0,0.0008736206,4.483445,-0.22063729
EEPD1,0.0,0.0,0.0,-0.14887504,0.21565834
EIF3F,0.0,6.0,0.0,-0.14887504,-1.0947429
NPHP3,2.7891568e-11,1.0,2.7891568e-11,-0.1488749,-0.0027417927
GTF2A2,0.0003908596,7.0,0.0003908596,1.9236343,0.15277313
POGZ,0.0,0.0,0.0,-0.14887504,0.21565834
POLR3A,3.2927463e-05,6.0,3.2927463e-05,0.025720825,-0.97124875
CDC26,6.60009e-05,9.0,6.60009e-05,0.20109072,-1.5024077
SPIRE1,0.0,0.0,0.0,-0.14887504,0.21565834
UBP1,0.0,0.0,0.0,-0.14887504,0.21565834
FMO1,0.0,1.0,0.0,-0.14887504,-0.0027418935
PPM1N,0.0,0.0,0.0,-0.14887504,0.21565834
CLASRP,0.0,0.0,0.0,-0.14887504,0.21565834
CRABP1,4.6110273e-12,1.0,4.6110273e-12,-0.14887501,-0.002741879
FKBP3,0.0,0.0,0.0,-0.14887504,0.21565834
ZNF415,0.0,0.0,0.0,-0.14887504,0.21565834
YY1AP1,0.0,0.0,0.0,-0.14887504,0.21565834
CNOT8,0.0,2.0,0.0,-0.14887504,-0.22114211
GLIPR2,0.0,0.0,0.0,-0.14887504,0.21565834
PRAMEF10,0.0,0.0,0.0,-0.14887504,0.21565834
ROBO1,4.6505195e-09,7.0,4.6505195e-09,-0.14885038,-1.3131257
RAP1GAP,1.913017e-12,2.0,1.913017e-12,-0.14887503,-0.22114211
M6PR,1.4832982e-12,3.0,1.4832982e-12,-0.14887503,-0.43954235
