ind,Transport of small molecules,Metabolism,Cellular responses to external stimuli,DNA Replication,Neuronal System,Cell-Cell communication,Programmed Cell Death,Cell Cycle,Circadian Clock,Organelle biogenesis and maintenance,Vesicle-mediated transport,Metabolism of proteins,Digestion and absorption,Immune System,Extracellular matrix organization,Signal Transduction,Gene expression (Transcription),DNA Repair,Developmental Biology,Chromatin organization,Mitophagy,Metabolism of RNA,Reproduction,Disease,Hemostasis,Muscle contraction
TCGA-BJ-A28X-01A,-0.0004440446,0.0010284834,-7.808333e-05,-0.0006803851,-2.6405818e-05,-6.573633e-05,-0.00021403132,-0.00027290973,4.3778473e-06,-1.1264774e-05,-0.0001708757,-0.0011136879,-5.633699e-05,-0.0007436847,-0.0014398106,0.003204381,-0.000770318,0.0002895223,-1.3284648e-06,0.00018786045,5.5273504e-05,-0.0028818222,8.4247244e-05,6.0463326e-06,0.0012675262,0.00018391576
TCGA-BJ-A28X-11A,-0.00051733275,0.0009435966,-6.038267e-05,-0.0007487693,1.3701125e-05,-5.2012238e-05,-0.00024992856,-0.0002659299,2.6432015e-06,-2.8016579e-05,-0.00017626923,-0.0013354562,-6.262535e-05,-0.00085015834,-0.0010545859,0.004308173,-0.00026968194,0.0001832329,9.759375e-07,0.00018626037,5.780819e-05,-0.0028468587,8.826638e-05,-8.663065e-05,0.0011291534,0.00023324591
TCGA-BJ-A290-01A,-0.0004729248,0.00070689135,-9.927902e-05,-0.0010908912,1.47372975e-05,-5.8310117e-05,-8.7524764e-05,-0.00027445419,5.6149984e-06,-3.9702405e-05,-0.00015770004,-0.0012704278,-4.8401285e-05,-0.000558945,-0.0015166757,0.00095166825,-0.0012767616,0.00026059043,5.9627837e-05,0.00018768088,4.7485595e-05,-0.0029495375,7.7873454e-05,0.00017879382,0.0009931986,0.00023588185
TCGA-BJ-A2N7-01A,-0.00047022649,0.00026409826,-0.00013371819,-0.0008300128,6.842783e-05,-5.1988503e-05,-0.0001292033,-0.00023352173,4.6089103e-06,-3.7630554e-05,-0.00015491145,-0.0010714651,-5.7912435e-05,-0.0004972182,-0.0012085828,0.0011391687,-0.0005049554,0.00033983015,2.8319659e-05,0.00017833848,5.597e-05,-0.00312165,6.419387e-05,3.4959336e-05,0.0010232278,0.00014825142
TCGA-BJ-A2N8-01A,-0.00046503186,0.00029239335,-0.00017474942,-0.00095596287,7.75738e-05,-5.1638624e-05,-0.00021547533,-0.00015681503,4.704869e-06,-5.5124707e-05,-3.666738e-05,-0.0012041568,-2.1527265e-05,-0.00055090693,-0.0012262854,-0.0011593146,-0.00062182115,0.00047272703,0.00011452939,0.00020029588,5.8634017e-05,-0.0031742773,6.848883e-05,-0.00010812927,0.0010042316,0.00013653089
TCGA-BJ-A2N9-01A,-0.00044631722,-0.00045345494,-0.0002167769,-0.0007348253,6.731921e-05,-5.0593797e-05,9.728452e-05,-0.00029210598,1.6855686e-06,-3.130401e-05,-7.593069e-05,-0.001192251,-4.891882e-06,-0.00054275926,-0.0009706613,-0.0023159254,-0.00046858637,0.00048968283,0.00011497948,0.00015497839,5.164172e-05,-0.0032034165,5.7799778e-05,-0.00017350868,0.000979463,0.00016173969
TCGA-BJ-A2N9-11A,-0.0004704656,0.00056795485,-0.00013692192,-0.00080626755,6.1611536e-05,-5.394471e-05,-0.00025977282,-0.00020918205,1.7417116e-06,-4.4180328e-05,-0.00015909637,-0.001032962,-2.4600082e-05,-0.0007482368,-0.0010174849,0.0013528442,-0.00019536309,0.0002617773,4.8834092e-05,0.00018030769,5.277169e-05,-0.0029411977,7.6429824e-05,-0.0001153887,0.0011435085,0.00020822704
TCGA-BJ-A2N9-11A,-0.0004704656,0.00056795485,-0.00013692192,-0.00080626755,6.1611536e-05,-5.394471e-05,-0.00025977282,-0.00020918205,1.7417116e-06,-4.4180328e-05,-0.00015909637,-0.001032962,-2.4600082e-05,-0.0007482368,-0.0010174849,0.0013528442,-0.00019536309,0.0002617773,4.8834092e-05,0.00018030769,5.277169e-05,-0.0029411977,7.6429824e-05,-0.0001153887,0.0011435085,0.00020822704
TCGA-BJ-A2P4-01A,-0.00048738925,-0.0008630378,-0.00015767515,-0.0009930796,5.47225e-05,-7.48215e-05,6.0567574e-05,-0.00033523576,3.1855907e-06,-5.1703904e-05,-0.00015943017,-0.0010047767,-6.6394736e-05,-0.0005058941,-0.0014715232,0.00070076983,-0.0006410714,0.0004964274,7.281197e-05,0.00017482563,5.3190233e-05,-0.0030621453,6.12414e-05,4.256077e-05,0.0013177651,0.00014220277
TCGA-BJ-A3EZ-01A,-0.00043214433,0.00075535633,-0.0001402019,-0.0009207773,-1.045773e-05,-4.627443e-05,-2.3062821e-05,-0.00024874555,3.5826529e-06,-2.1370905e-05,-9.5651914e-05,-0.0010787434,-5.7635152e-05,-0.0005227088,-0.0011161176,-0.00060341915,-0.00052507315,0.0002828723,-1.8080344e-06,0.00017890698,5.3729742e-05,-0.003057382,7.500431e-05,-9.14788e-06,0.0011052465,9.197379e-05
TCGA-BJ-A3F0-01A,-0.000563865,-0.0010718734,-0.00016524213,-0.0006250098,0.00011196007,-6.221748e-05,9.555926e-05,-0.00024846502,2.5362754e-06,-5.1939023e-05,-6.0249622e-05,-0.0012360911,4.93167e-06,-0.0005114202,-0.0014204832,0.0012033756,-0.00064069463,0.0007376991,3.0085894e-05,0.00017330892,5.3510917e-05,-0.0033383437,6.316978e-05,-1.6725371e-05,0.0010446842,0.0002435528
TCGA-BJ-A3PT-01A,-0.00046470787,8.829999e-05,-0.00017947132,-0.0008787747,5.6587138e-05,-6.524786e-05,-4.4698012e-05,-0.00024935536,3.0945544e-06,-4.9798127e-05,-0.00015473353,-0.00062799116,-3.073168e-05,-0.0005359058,-0.001504614,-0.00089369685,-0.000606734,0.00038858017,1.460662e-05,0.00017763663,5.2180996e-05,-0.0030160649,6.623391e-05,1.06225025e-05,0.0013143375,0.00021089462
TCGA-BJ-A3PU-11A,-0.0005455277,0.0007732249,-5.9472168e-05,-0.000978271,6.955562e-06,-3.5878318e-05,-0.00034942952,-0.00018645701,2.6573605e-06,-6.273834e-05,-0.00010013507,-0.0010156152,-6.961949e-05,-0.00057197915,-0.0011333474,0.0013068096,-0.00032454464,0.0002042914,5.7958954e-05,0.00017240463,5.7542213e-05,-0.003065654,7.148678e-05,0.0001520264,0.0011125798,0.00029962
TCGA-CE-A3MD-01A,-0.0003667521,0.00045538478,-0.00012036541,-0.00097229745,-2.1650747e-05,-7.570935e-05,-4.7576945e-05,-0.00027532305,3.0933488e-06,-4.070626e-05,-0.00017591253,-0.00080035126,-0.00010110495,-0.0005425661,-0.0013627446,0.002622776,-0.0011883263,0.00022182507,4.719875e-05,0.00018084202,5.1435145e-05,-0.0029355455,7.064769e-05,-2.2548265e-05,0.0013211129,0.00017564272
TCGA-CE-A3ME-01A,-0.00048328363,0.0013878124,-6.134829e-05,-0.00074027287,4.7032332e-05,-5.497643e-05,-0.00011883431,-0.00030068727,5.468793e-06,-3.993971e-05,-0.0001609283,-0.0006839848,-7.965292e-05,-0.00054870313,-0.0013262322,0.0015547834,-0.00042354706,0.00026328175,3.8302816e-05,0.00018530276,5.2289262e-05,-0.0029582111,7.709768e-05,1.9996625e-05,0.0011589676,0.00023452105
TCGA-CE-A481-01A,-0.00041317742,0.0011374376,-9.9027304e-05,-0.0010037061,-1.5233968e-05,-6.043951e-05,-4.0955307e-05,-0.0003204582,3.469754e-06,-4.2550873e-05,-0.0001609142,-0.00082535075,-8.233949e-05,-0.0007039101,-0.0015210201,0.0026778944,-0.0007717421,0.00020668736,6.901192e-05,0.00018020302,4.9030397e-05,-0.0029269836,7.2508556e-05,4.596125e-05,0.0012634438,0.00018360889
TCGA-CE-A483-01A,-0.00050778274,0.00083892245,-0.00010603446,-0.0008993143,4.6237557e-05,-5.27986e-05,-0.000111638525,-0.0002600535,5.485534e-06,-2.6975773e-05,-0.00017143606,-0.0009779056,-7.918122e-05,-0.00051120436,-0.0014392526,0.0012976921,-0.0005369846,0.00025746296,7.815074e-05,0.00018028685,5.597453e-05,-0.0030148213,7.659345e-05,0.00010213216,0.0011390289,0.00010259406
