,coef
R-HSA-2473224,0.025818093
R-HSA-156581,3.611341e-05
R-HSA-156582,0.0
R-HSA-174362,0.0083001135
R-HSA-2129379,0.0068727587
R-HSA-156902,0.0023928268
R-HSA-171306,0.003048483
R-HSA-499943,0.013231193
R-HSA-2151201,0.0008006032
R-HSA-2151209,0.00028805126
R-HSA-8949613,0.0035442382
R-HSA-1237112,0.004258462
R-HSA-1614603,0.0001457051
R-HSA-2028269,0.042990044
R-HSA-2586552,0.048024535
R-HSA-162699,2.9471876e-06
R-HSA-162710,8.973157e-05
R-HSA-162791,0.0002821825
R-HSA-163210,0.0
R-HSA-164378,0.037038513
R-HSA-163358,0.5325917
R-HSA-163680,0.015175275
R-HSA-163754,0.01100313
R-HSA-163765,2.636774e-05
R-HSA-163767,0.0067624594
R-HSA-1663150,0.007375826
R-HSA-204626,0.0033537487
R-HSA-5358493,0.009102955
R-HSA-8948216,0.005300566
R-HSA-165181,0.0016664529
R-HSA-166208,0.00034405102
R-HSA-380972,0.00041046616
R-HSA-166665,5.407506e-06
R-HSA-174577,0.0
R-HSA-977606,0.0005322437
R-HSA-1222556,0.006179201
R-HSA-6798695,0.08055175
R-HSA-879415,0.00010704541
R-HSA-168638,0.014075568
R-HSA-1679131,0.0051400615
R-HSA-5686938,0.033302907
R-HSA-918233,6.0156188e-05
R-HSA-933541,0.0008959544
R-HSA-933542,0.002422939
R-HSA-933543,0.005594444
R-HSA-936440,0.0045172004
R-HSA-211728,0.0005372769
R-HSA-211733,0.003401291
R-HSA-2173791,0.044457223
R-HSA-179812,0.16767332
R-HSA-180292,0.7807964
R-HSA-180336,0.052257687
R-HSA-182971,0.036202125
R-HSA-212718,0.0066755
R-HSA-3134963,0.0027853264
R-HSA-3134973,0.0011817472
R-HSA-210744,4.6982263e-06
R-HSA-210746,5.4707084e-07
R-HSA-210747,8.9238405e-08
R-HSA-186763,0.00030195503
R-HSA-189451,0.008252781
R-HSA-189483,0.0030719612
R-HSA-1912399,0.00054211786
R-HSA-1912408,0.007891244
R-HSA-1912420,0.0009089007
R-HSA-193670,0.00020696224
R-HSA-193681,0.0030050187
R-HSA-193692,0.00013362314
R-HSA-205017,0.001222971
R-HSA-194306,2.2762596e-09
R-HSA-194840,0.014679918
R-HSA-191859,0.07939722
R-HSA-196299,0.007184121
R-HSA-4641265,0.0026955055
R-HSA-5625900,0.00021747932
R-HSA-5625970,0.00226772
R-HSA-5626467,0.0032788366
R-HSA-5627083,0.00033419658
R-HSA-5627117,0.00021007193
R-HSA-5627123,0.00049407984
R-HSA-5663213,0.0050457586
R-HSA-5663220,0.018338226
R-HSA-5666185,2.7904669e-06
R-HSA-5668599,7.6830685e-05
R-HSA-3238698,0.05187437
R-HSA-196741,0.06022823
R-HSA-196757,0.0012041973
R-HSA-196780,0.1466457
R-HSA-196819,0.0011099086
R-HSA-196836,0.0156953
R-HSA-196843,0.012059508
R-HSA-947581,0.019318733
R-HSA-964975,0.0
R-HSA-2122947,0.03008743
R-HSA-2122948,0.0044236667
R-HSA-2197563,0.006174991
R-HSA-2979096,0.025085498
R-HSA-204005,0.00033222925
R-HSA-5694530,0.00021940221
R-HSA-6807878,0.00034298943
R-HSA-1445148,6.781112e-06
R-HSA-917729,0.0005296576
R-HSA-201688,0.001177675
R-HSA-3769402,0.0022648044
R-HSA-3772470,0.0018602186
R-HSA-4641257,0.00034081598
R-HSA-4641258,0.0088712
R-HSA-4641262,0.00063117035
R-HSA-4641263,0.001266608
R-HSA-5368598,0.00024246404
R-HSA-2214320,0.0
R-HSA-2243919,8.674535e-06
R-HSA-202424,0.008108702
R-HSA-202427,0.0023663815
R-HSA-202430,0.00028815342
R-HSA-202433,0.0012286785
R-HSA-210990,0.00015410768
R-HSA-210991,0.072932914
R-HSA-210993,0.0017421918
R-HSA-2029481,0.00527032
R-HSA-2029482,0.02786985
R-HSA-2029485,0.0030873849
R-HSA-203615,0.0008135961
R-HSA-203641,0.0030368394
R-HSA-203754,0.0
R-HSA-209905,0.0019456696
R-HSA-209931,0.00028560814
R-HSA-209822,1.0267884e-09
R-HSA-211163,0.00014724211
R-HSA-203927,0.004241781
R-HSA-426486,0.00024748815
R-HSA-426496,0.004190998
R-HSA-5578749,0.0021891259
R-HSA-5601884,0.0057914085
R-HSA-5423646,0.010326356
R-HSA-140180,0.0
R-HSA-217271,2.364278e-06
R-HSA-71384,0.009744313
R-HSA-8937144,0.000249424
R-HSA-212300,0.00040424187
R-HSA-5221030,0.00030336846
R-HSA-5334118,0.015808566
R-HSA-2032785,0.0086632855
R-HSA-350054,0.0009940558
R-HSA-383280,0.0010346177
R-HSA-8953750,0.00012201874
R-HSA-2161517,1.2160696e-05
R-HSA-2161541,0.028973758
R-HSA-2424491,0.0005460516
R-HSA-2168880,0.009008577
R-HSA-3000471,0.0016900914
R-HSA-3000480,0.02074508
R-HSA-3000484,0.0048668496
R-HSA-3000497,0.05651647
R-HSA-975634,0.0065994784
R-HSA-2219530,0.04363798
R-HSA-5674400,0.0015842554
R-HSA-5674404,0.0
R-HSA-3299685,0.0010647849
R-HSA-3371497,2.2191047e-05
R-HSA-2408499,0.0
R-HSA-2408508,0.05376401
R-HSA-2408517,0.0042688875
R-HSA-2408550,2.0898438e-05
R-HSA-2408552,0.008269225
R-HSA-2408557,0.00011029213
R-HSA-5263617,0.0073941834
R-HSA-2730905,0.0038494735
R-HSA-2871796,0.0024248115
R-HSA-2871809,0.0010048695
R-HSA-2871837,0.0191721
R-HSA-6809583,0.0
R-HSA-2559580,0.02212759
R-HSA-2559582,0.021883335
R-HSA-2559585,0.012468536
R-HSA-3295583,0.02327748
R-HSA-3928662,2.9435532e-05
R-HSA-3928663,0.00029722412
R-HSA-3928664,7.42857e-06
R-HSA-3928665,0.0011476557
R-HSA-2022377,0.0056610885
R-HSA-264876,0.10788508
R-HSA-422085,0.023308307
R-HSA-3000170,0.00020584089
R-HSA-3214815,0.022385957
R-HSA-3214841,0.0029533652
R-HSA-3214842,0.00020530596
R-HSA-3214847,0.0037909881
R-HSA-3214858,0.009584398
R-HSA-5683329,0.0
R-HSA-3371453,0.006876168
R-HSA-3371511,6.1879575e-05
R-HSA-350562,0.01996023
R-HSA-351143,0.005807775
R-HSA-351200,0.0
R-HSA-70635,0.038334113
R-HSA-71288,0.32309735
R-HSA-354194,0.0062654517
R-HSA-372708,0.004652472
R-HSA-3560783,0.0051216516
R-HSA-3560792,0.0
R-HSA-3560796,0.0
R-HSA-3560801,0.018855631
R-HSA-3595172,5.5959547e-12
R-HSA-3595174,1.2182502e-07
R-HSA-3595177,3.9200734e-07
R-HSA-3656225,0.0019351407
R-HSA-3656234,0.0
R-HSA-3656237,0.008545694
R-HSA-3656243,0.0030798463
R-HSA-3656244,0.00038994174
R-HSA-3656248,0.0
R-HSA-3656253,0.0013428052
R-HSA-4420332,0.00604302
R-HSA-376172,0.00034522437
R-HSA-418885,0.0025439125
R-HSA-418886,5.7924157e-05
R-HSA-418890,0.0012683714
R-HSA-399954,0.00015324622
R-HSA-399955,0.0009124462
R-HSA-399956,0.000519288
R-HSA-416700,0.00090177014
R-HSA-437239,0.0013586291
R-HSA-445095,0.0015707155
R-HSA-445144,0.0030130765
